name,description,lon,lat
HYATT-GUEST,BSSID: <b>0c:68:03:cb:f1:c0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096362000</b><br/>Date: <b>2014-02-22 14:12:42</b>,-82.39753422365077,34.85220644163455
BSHSIGuest,BSSID: <b>54:78:1a:d0:ca:f3</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>0</b><br/>Date: <b>1969-12-31 19:00:00</b>,-82.3992539403883,34.849264127949176
Sticky Hotspot,BSSID: <b>00:18:0a:21:43:93</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393096126000</b><br/>Date: <b>2014-02-22 14:08:46</b>,-82.39866795272509,34.850856758978765
belkin.4f2.guests,BSSID: <b>0a:86:3b:21:44:f3</b><br/>Capabilities: <b>[WPS][ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096622999</b><br/>Date: <b>2014-02-22 14:17:02</b>,-82.39790559910844,34.85249117164745
PB-Guest,BSSID: <b>1c:e6:c7:05:17:e1</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393096445999</b><br/>Date: <b>2014-02-22 14:14:05</b>,-82.39656013629177,34.851852196511075
On The Roof,BSSID: <b>00:17:c5:ce:a8:a4</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2427</b><br/>Timestamp: <b>1393097019999</b><br/>Date: <b>2014-02-22 14:23:39</b>,-82.39828422341054,34.851971633140884
GCI-GUEST,BSSID: <b>6c:f3:7f:1a:77:63</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097801999</b><br/>Date: <b>2014-02-22 14:36:41</b>,-82.40087821896473,34.84730504367786
Westin Poinsett Greenville,BSSID: <b>a4:56:30:46:5c:70</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393098945999</b><br/>Date: <b>2014-02-22 14:55:45</b>,-82.39950543009931,34.849786679547556
HP-Print-65-Officejet Pro 8600,BSSID: <b>00:9c:02:d2:47:65</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2447</b><br/>Timestamp: <b>1393096947000</b><br/>Date: <b>2014-02-22 14:22:27</b>,-82.39789045107813,34.85297819979183
,BSSID: <b>00:18:0a:30:23:f0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393098775000</b><br/>Date: <b>2014-02-22 14:52:55</b>,-82.39938348062212,34.84939539288719
HP-Print-1e-CecilsHP,BSSID: <b>e0:06:e6:31:a5:1e</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393097600000</b><br/>Date: <b>2014-02-22 14:33:20</b>,-82.39974592868045,34.84917368437087
attwifi,BSSID: <b>44:ad:d9:ba:d6:f0</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2432</b><br/>Timestamp: <b>1393097421000</b><br/>Date: <b>2014-02-22 14:30:21</b>,-82.40007091125817,34.850033211652885
wcsrguest,BSSID: <b>00:24:97:89:1e:c1</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2437</b><br/>Timestamp: <b>1393097921000</b><br/>Date: <b>2014-02-22 14:38:41</b>,-82.40133826438242,34.846120027417705
SchwabOne,BSSID: <b>24:de:c6:68:95:10</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393099077000</b><br/>Date: <b>2014-02-22 14:57:57</b>,-82.39862312671168,34.850308017323734
Roost,BSSID: <b>00:17:9a:32:22:6e</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2462</b><br/>Timestamp: <b>1393096690999</b><br/>Date: <b>2014-02-22 14:18:10</b>,-82.39790630280183,34.85306923547729
,BSSID: <b>0c:27:24:51:cb:10</b><br/>Capabilities: <b>[ESS]</b><br/>Frequency: <b>2412</b><br/>Timestamp: <b>1393097081999</b><br/>Date: <b>2014-02-22 14:24:41</b>,-82.3986545727066,34.85148229386063
